seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization,simulation_elapsed_seconds
709098,none_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,3000000.0,7756248.62892385,2585416.2096412834,158.54162096412833,2934,58.68,0,0.0,0.0,0.0,0.9658606720379908,0.9999975278027569,0.0,0.0,7.425837899994804
709098,none_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,3000000.0,8316003.101801583,2772001.0339338607,177.20010339338612,3004,60.08,0,0.0,0.0,0.0,0.9572940892825669,0.9999975278027569,0.0,0.0,7.406804199999897
709098,low_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,7150504.202812146,2383501.400937382,138.35014009373825,2625,52.5,135,0.05142857142857143,0.08905574089253201,0.0032179630914589384,0.9339509351072139,0.9999933361737415,0.0,0.0,7.663297100007185
709098,low_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,7681013.531805304,2560337.8439351013,156.03378439351016,2791,55.82,174,0.06234324614833393,0.10927604255531653,0.003707721529962003,0.9636146936955567,0.9999982775173005,0.0,0.0,17.412304799989215
709098,medium_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,7030462.300574344,2343487.4335247814,134.34874335247812,2354,47.08,144,0.06117247238742566,0.11318528054909811,0.004459869374234013,0.8827175338544452,0.9999971368567805,0.0,0.0,14.594103099996573
709098,medium_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,7351142.467841467,2450380.8226138223,145.03808226138221,2644,52.88,105,0.0397125567322239,0.07894018786308103,0.0027638175977470233,0.9565803105935257,0.9999998104275646,0.0,0.0,16.965701299996
709098,high_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,7040767.939705929,2346922.646568643,134.6922646568643,2478,49.56,165,0.06658595641646489,0.16321428432079219,0.006068724344715961,0.9290261919101447,0.9999938252610883,0.0,0.0,15.379340300001786
709098,high_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,6991192.63268685,2330397.54422895,133.03975442289502,2477,49.54,148,0.059749697214372226,0.14564141542972528,0.005369050733666912,0.9434515517089445,0.9999982134694752,0.0,0.0,14.956665200006682
709098,none_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,15000000.0,23266695.033370316,7755565.011123438,55.11130022246879,6637,132.74,0,0.0,0.0,0.0,0.6679855868949285,0.9999990876143148,0.0,0.0,52.96895249999943
709098,none_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,15000000.0,22499591.954525463,7499863.984841821,49.99727969683641,6647,132.94,0,0.0,0.0,0.0,0.6499272484965202,0.9999959254646806,0.0,0.0,53.345543400006136
