financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5579614.633645407,1000000.0,5579614.633645262,4579614.633645262,0.0,0.0,6.0,0.0,2836,2836,0,0.0,92280775.97432199,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5178361.605571245,1000000.0,5178361.605572777,4178361.605572777,0.0,0.0,6.0,0.0,2355,2355,0,0.0,82275296.56500173,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6338203.444896813,1000000.0,6338203.44489662,5338203.44489662,0.0,0.0,6.0,0.0,2887,2887,0,0.0,100200160.05200753,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5702156.757589663,1000000.0,5702156.757589486,4702156.757589486,0.0,0.0,6.0,0.0,2857,2857,0,0.0,93396151.53084947,0.0,0.0,0.0,0,4249,647701,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5498772.61763065,1000000.0,5498772.617630568,4498772.617630568,0.0,0.0,6.0,0.0,2284,2284,0,0.0,80534873.2598814,0.0,0.0,0.0,0,4249,647701,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6212665.309226396,1000000.0,6212665.309226482,5212665.309226482,0.0,0.0,6.0,0.0,2919,2919,0,0.0,100185044.1890663,0.0,0.0,0.0,0,4249,647701,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5174155.15638992,1000000.0,5174155.1563899275,4174155.1563899275,0.0,0.0,6.0,0.0,2834,2834,0,0.0,91372536.96454422,0.0,0.0,0.0,0,4248,647701,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5549147.682043507,1000000.0,5549147.682044048,4549147.682044048,0.0,0.0,6.0,0.0,2532,2532,0,0.0,88978299.7802732,0.0,0.0,0.0,0,4248,647701,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5539006.675815485,1000000.0,5539006.675815666,4539006.675815666,0.0,0.0,6.0,0.0,2636,2636,0,0.0,91176632.07067083,0.0,0.0,0.0,0,4248,647701,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3909048.3833130063,1000000.0,3909048.3833129345,2909048.3833129345,0.0,0.0,6.0,0.0,1758,1758,31,0.01763367463026166,61007274.60845007,69276.8652288872,0.0011355508941107773,0.0692768652288872,0,4251,647701,low_default,1000000.0
