financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,5760161.178439171,1000000.0,5760161.178439304,4760161.178439304,0.0,0.0,6.0,0.0,2892,2892,0,0.0,94417069.83782089,0.0,0.0,0.0,0,4255,647701,none_default,1000000.0
Fin_rl_2,pure_rl,rl,4188416.6241213535,1000000.0,4188416.6241212804,3188416.6241212804,0.0,0.0,6.0,0.0,1629,1629,0,0.0,56280013.41111836,0.0,0.0,0.0,0,4255,647701,none_default,1000000.0
Fin_rl_3,pure_rl,rl,7236435.733142229,1000000.0,7236435.733142399,6236435.733142399,0.0,0.0,6.0,0.0,3268,3268,0,0.0,111669619.84153934,0.0,0.0,0.0,0,4255,647701,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5579614.633645407,1000000.0,5579614.633645262,4579614.633645262,0.0,0.0,6.0,0.0,2836,2836,0,0.0,92280775.97432199,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5178361.605571245,1000000.0,5178361.605572777,4178361.605572777,0.0,0.0,6.0,0.0,2355,2355,0,0.0,82275296.56500173,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6338203.444896813,1000000.0,6338203.44489662,5338203.44489662,0.0,0.0,6.0,0.0,2887,2887,0,0.0,100200160.05200753,0.0,0.0,0.0,0,4250,647701,none_default,1000000.0
Fin_rl_1,pure_rl,rl,4720841.9443133585,1000000.0,4720841.944312837,3720841.944312837,0.0,0.0,6.0,0.0,1965,1965,11,0.0055979643765903305,68666291.50555249,26848.51118767963,0.00039099987197515403,0.02684851118767963,0,4265,647701,low_default,1000000.0
Fin_rl_2,pure_rl,rl,4915476.365846925,1000000.0,4915476.365847524,3915476.3658475243,0.0,0.0,6.0,0.0,2017,2017,51,0.02528507684680218,69920181.28734778,101426.460481407,0.0014506035112320334,0.10142646048140701,0,4265,647701,low_default,1000000.0
Fin_rl_3,pure_rl,rl,4880704.22819479,1000000.0,4880704.228195247,3880704.2281952472,0.0,0.0,6.0,0.0,2504,2504,54,0.02156549520766773,83481602.1104773,114858.50886505608,0.001375854151829231,0.11485850886505608,0,4265,647701,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3909048.3833130063,1000000.0,3909048.3833129345,2909048.3833129345,0.0,0.0,6.0,0.0,1758,1758,31,0.01763367463026166,61007274.60845007,69276.8652288872,0.0011355508941107773,0.0692768652288872,0,4251,647701,low_default,1000000.0
