financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_fixed_8_no_screening_1,fixed_8,none,2374133.4298576848,1000000.0,2374133.4298576713,1374133.4298576713,0.0,0.0,8.0,0.0,1908,1908,0,0.0,60374872.30983302,0.0,0.0,0.0,0,4233,436570,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,2377284.7418531175,1000000.0,2377284.7418531077,1377284.7418531077,0.0,0.0,8.0,0.0,1925,1925,0,0.0,61045787.09619917,0.0,0.0,0.0,0,4233,436570,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,2379029.173077453,1000000.0,2379029.1730774445,1379029.1730774445,0.0,0.0,8.0,0.0,1946,1946,0,0.0,60808878.43556894,0.0,0.0,0.0,0,4233,436570,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,1943533.517640148,1000000.0,1943533.5176400696,943533.5176400696,0.0,0.0,8.0,0.0,1730,1730,221,0.12774566473988438,53114541.02064334,295540.95631464676,0.005564219338726521,0.2955409563146468,0,4281,436570,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,1941982.731675315,1000000.0,1941982.7316753617,941982.7316753617,0.0,0.0,8.0,0.0,1729,1729,231,0.13360323886639677,53335162.32494277,303570.59390179894,0.00569175344498447,0.30357059390179897,0,4281,436570,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,1977457.9892432608,1000000.0,1977457.9892432224,977457.9892432224,0.0,0.0,8.0,0.0,1753,1753,228,0.13006274957216202,53881796.61407566,276884.17171351984,0.005138733099356022,0.27688417171351987,0,4281,436570,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,1489047.5172848748,1000000.0,1489047.5172848934,489047.51728489343,0.0,0.0,8.0,0.0,1501,1501,355,0.23650899400399733,45071154.713891275,589260.0332986171,0.013073994598966923,0.5892600332986171,0,4255,436570,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,1587160.0688989584,1000000.0,1587160.0688989386,587160.0688989386,0.0,0.0,8.0,0.0,1575,1575,336,0.21333333333333335,47350715.09184235,535054.2859177589,0.011299814266372903,0.5350542859177589,0,4255,436570,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,1486871.7911240873,1000000.0,1486871.7911240903,486871.7911240903,0.0,0.0,8.0,0.0,1557,1557,379,0.24341682723185612,46533723.64858447,626877.8938560367,0.0134714749799548,0.6268778938560368,0,4255,436570,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,963451.2562656037,1000000.0,963451.2562655851,-36548.74373441492,36548.74373441492,0.03654874373441492,8.0,0.0,1244,1244,456,0.3665594855305466,35430657.56744344,916624.7244547813,0.025870948703392127,0.9166247244547813,0,4270,436570,high_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,959210.2017648484,1000000.0,959210.2017648258,-40789.79823517415,40789.79823517415,0.04078979823517415,8.0,0.0,1237,1237,460,0.3718674211802749,35503741.793454565,915076.0150253245,0.025774072500550547,0.9150760150253245,0,4270,436570,high_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,1017884.3713977876,1000000.0,1017884.3713977974,17884.371397797368,0.0,0.0,8.0,0.0,1291,1291,444,0.3439194422927963,37064581.10219557,894153.2582686312,0.024124197054952414,0.8941532582686312,0,4270,436570,high_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,7686434.013414591,5000000.0,7686434.013416978,2686434.0134169776,0.0,0.0,8.0,0.0,3417,3417,0,0.0,118337398.92276461,0.0,0.0,0.0,0,4246,436570,none_default,5000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,7768707.683585107,5000000.0,7768707.683583388,2768707.683583388,0.0,0.0,8.0,0.0,3494,3494,0,0.0,122023449.6575467,0.0,0.0,0.0,0,4246,436570,none_default,5000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,7724352.029701172,5000000.0,7724352.029701544,2724352.029701544,0.0,0.0,8.0,0.0,3458,3458,0,0.0,120242013.87784655,0.0,0.0,0.0,0,4246,436570,none_default,5000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
