financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5334702.879447541,1000000.0,5334702.879447192,4334702.879447192,0.0,0.0,6.0,0.0,2731,2731,0,0.0,88572532.04401174,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5732801.903516224,1000000.0,5732801.903516462,4732801.903516462,0.0,0.0,6.0,0.0,2488,2488,0,0.0,86669318.25916357,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5021283.965572536,1000000.0,5021283.965573264,4021283.9655732643,0.0,0.0,6.0,0.0,2330,2330,0,0.0,78893203.3510358,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,6196912.989705365,1000000.0,6196912.989704731,5196912.989704731,0.0,0.0,6.0,0.0,2846,2846,0,0.0,94196757.86363588,0.0,0.0,0.0,0,4259,703909,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5228901.204823165,1000000.0,5228901.2048233235,4228901.2048233235,0.0,0.0,6.0,0.0,2178,2178,0,0.0,77888621.31894086,0.0,0.0,0.0,0,4259,703909,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5198516.582653848,1000000.0,5198516.582653472,4198516.582653472,0.0,0.0,6.0,0.0,2473,2473,0,0.0,82332215.15147047,0.0,0.0,0.0,0,4259,703909,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5250468.30253893,1000000.0,5250468.302538945,4250468.302538945,0.0,0.0,6.0,0.0,2613,2613,0,0.0,85658957.95201041,0.0,0.0,0.0,0,4249,703909,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5448876.986766301,1000000.0,5448876.986766403,4448876.986766403,0.0,0.0,6.0,0.0,2419,2419,0,0.0,83094703.99347779,0.0,0.0,0.0,0,4249,703909,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5808532.415840101,1000000.0,5808532.415840002,4808532.415840002,0.0,0.0,23.0,0.0,2502,2502,0,0.0,87851597.44984415,0.0,0.0,0.0,0,4249,703909,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5230168.161995012,1000000.0,5230168.161995292,4230168.161995292,0.0,0.0,6.0,0.0,2395,2395,51,0.02129436325678497,83956896.19087227,113681.98339988495,0.0013540517641509044,0.11368198339988494,0,4267,703909,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4925781.246264943,1000000.0,4925781.246264594,3925781.2462645937,0.0,0.0,6.0,0.0,2075,2075,34,0.0163855421686747,71843114.48174079,70992.38491757931,0.0009881585094090306,0.07099238491757931,0,4267,703909,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5699657.119064772,1000000.0,5699657.119065482,4699657.119065482,0.0,0.0,6.0,0.0,2628,2628,31,0.011796042617960426,88286827.51210989,70731.79358239731,0.0008011590808684949,0.07073179358239731,0,4267,703909,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4207711.961126375,1000000.0,4207711.961125375,3207711.961125375,0.0,0.0,6.0,0.0,1957,1957,93,0.04752171691364333,69742143.95849964,201090.60473197073,0.002883344177827836,0.20109060473197074,0,4256,703909,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5193006.508897343,1000000.0,5193006.508897108,4193006.508897108,0.0,0.0,6.0,0.0,2170,2170,60,0.027649769585253458,74725393.05462138,133308.7782537939,0.0017839822957685925,0.1333087782537939,0,4256,703909,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6274552.568864855,1000000.0,6274552.568864613,5274552.568864613,0.0,0.0,6.0,0.0,2743,2743,17,0.006197593875318994,90601535.12600768,32375.11595314286,0.00035733518100014404,0.03237511595314286,0,4256,703909,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,4198267.839192209,1000000.0,4198267.839192399,3198267.839192399,0.0,0.0,6.0,0.0,1894,1894,59,0.031151003167898626,66285642.72799073,139146.4136677037,0.002099193851656593,0.1391464136677037,0,4245,703909,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5125522.575783029,1000000.0,5125522.5757826455,4125522.5757826455,0.0,0.0,6.0,0.0,2241,2241,65,0.02900490852298081,77559958.48103376,142394.63788604696,0.0018359297848369483,0.14239463788604695,0,4245,703909,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6359889.828361304,1000000.0,6359889.828362013,5359889.828362013,0.0,0.0,6.0,0.0,2878,2878,25,0.008686587908269632,95766973.37130345,49189.44659810612,0.0005136368506436032,0.049189446598106125,0,4245,703909,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4065566.048711048,1000000.0,4065566.0487115984,3065566.0487115984,0.0,0.0,7.0,0.0,1652,1652,62,0.03753026634382567,57866272.19800448,156132.6340101867,0.002698162989935456,0.1561326340101867,0,4246,703909,medium_default,1000000.0
