financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,4711585.293637843,1000000.0,4711585.293639164,3711585.2936391644,0.0,0.0,6.0,0.0,2240,2240,0,0.0,76479590.4544287,0.0,0.0,0.0,0,4252,100237,none_default,1000000.0
Fin_rl_2,pure_rl,rl,5858858.037276508,1000000.0,5858858.03727579,4858858.03727579,0.0,0.0,6.0,0.0,2835,2835,0,0.0,97850659.33614258,0.0,0.0,0.0,0,4252,100237,none_default,1000000.0
Fin_rl_3,pure_rl,rl,6301359.911997049,1000000.0,6301359.911996647,5301359.911996647,0.0,0.0,6.0,0.0,2933,2933,0,0.0,100607029.2837248,0.0,0.0,0.0,0,4252,100237,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,6434319.930001501,1000000.0,6434319.930001671,5434319.930001671,0.0,0.0,6.0,0.0,2879,2879,0,0.0,98897040.19542587,0.0,0.0,0.0,0,4249,100237,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5172872.372502733,1000000.0,5172872.372502796,4172872.3725027964,0.0,0.0,6.0,0.0,2405,2405,0,0.0,80035947.57544225,0.0,0.0,0.0,0,4249,100237,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5764459.182800008,1000000.0,5764459.182800342,4764459.182800342,0.0,0.0,6.0,0.0,2570,2570,0,0.0,88965962.98061347,0.0,0.0,0.0,0,4249,100237,none_default,1000000.0
Fin_rl_1,pure_rl,rl,4158008.7030084156,1000000.0,4158008.70300873,3158008.70300873,0.0,0.0,21.0,0.0,1896,1896,32,0.016877637130801686,66216258.47560056,73293.27056213282,0.0011068772571790658,0.07329327056213282,0,4247,100237,low_default,1000000.0
Fin_rl_2,pure_rl,rl,5365132.179401589,1000000.0,5365132.179401178,4365132.179401178,0.0,0.0,6.0,0.0,2451,2451,64,0.026111791105671155,84255260.8663473,118635.19252336305,0.0014080449256640727,0.11863519252336305,0,4247,100237,low_default,1000000.0
Fin_rl_3,pure_rl,rl,5749124.651735089,1000000.0,5749124.651734719,4749124.651734719,0.0,0.0,6.0,0.0,2222,2222,14,0.0063006300630063005,76047027.26587278,24143.67121925789,0.00031748343212480466,0.024143671219257888,0,4247,100237,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5009395.52737993,1000000.0,5009395.527379852,4009395.527379852,0.0,0.0,6.0,0.0,2280,2280,35,0.015350877192982455,79233224.02574293,80030.58158353857,0.001010063424372793,0.08003058158353857,0,4242,100237,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4202243.169181503,1000000.0,4202243.16918164,3202243.1691816403,0.0,0.0,6.0,0.0,2250,2250,89,0.03955555555555555,74893724.40309234,165812.705528837,0.002213973291492373,0.16581270552883698,0,4242,100237,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5572166.341448181,1000000.0,5572166.341447416,4572166.341447416,0.0,0.0,6.0,0.0,2427,2427,20,0.008240626287597858,83204143.96431243,38988.058107273784,0.00046858312879219545,0.038988058107273786,0,4242,100237,low_default,1000000.0
Fin_rl_1,pure_rl,rl,4074725.170739253,1000000.0,4074725.1707395846,3074725.1707395846,0.0,0.0,6.0,0.0,1932,1932,153,0.07919254658385093,65241752.290214196,342159.8132457256,0.005244491468035679,0.3421598132457256,0,4258,100237,medium_default,1000000.0
Fin_rl_2,pure_rl,rl,3547877.6487549287,1000000.0,3547877.648755342,2547877.648755342,0.0,0.0,6.0,0.0,1513,1513,92,0.06080634500991408,53178276.532206826,203390.15938502282,0.003824685052774169,0.20339015938502283,0,4258,100237,medium_default,1000000.0
Fin_rl_3,pure_rl,rl,5280364.969308294,1000000.0,5280364.969307988,4280364.969307988,0.0,0.0,6.0,0.0,2214,2214,38,0.017163504968383016,75216797.06714967,96974.9840273539,0.0012892729790232845,0.0969749840273539,0,4258,100237,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3349291.50397568,1000000.0,3349291.503975748,2349291.503975748,0.0,0.0,6.0,0.0,1455,1455,87,0.05979381443298969,50070290.722687475,208276.5083615922,0.004159682425554991,0.2082765083615922,0,4262,100237,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4216796.839459468,1000000.0,4216796.839459021,3216796.8394590206,0.0,0.0,6.0,0.0,1745,1745,69,0.03954154727793696,60500324.97346892,147558.3206467725,0.0024389674057367617,0.14755832064677252,0,4262,100237,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6631142.250068754,1000000.0,6631142.25006878,5631142.25006878,0.0,0.0,6.0,0.0,2961,2961,51,0.017223910840932118,100057163.93533014,117204.64919380263,0.001171376886811977,0.11720464919380263,0,4262,100237,medium_default,1000000.0
Fin_rl_1,pure_rl,rl,3685909.116009037,1000000.0,3685909.1160088046,2685909.1160088046,0.0,0.0,6.0,0.0,1822,1822,114,0.06256860592755215,63296897.12573098,347016.2526329936,0.005482358036345627,0.3470162526329936,0,4245,100237,high_default,1000000.0
Fin_rl_2,pure_rl,rl,3929514.324171973,1000000.0,3929514.32417358,2929514.32417358,0.0,0.0,7.0,0.0,1582,1582,78,0.0493046776232617,55003968.25213793,205574.78969815726,0.003737453791621059,0.20557478969815726,0,4245,100237,high_default,1000000.0
Fin_rl_3,pure_rl,rl,3293271.405562073,1000000.0,3293271.4055617834,2293271.4055617834,0.0,0.0,6.0,0.0,1515,1515,149,0.09834983498349835,51353606.74984922,385671.63818220864,0.007510117839646014,0.3856716381822086,0,4245,100237,high_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3478396.370194664,1000000.0,3478396.3701940933,2478396.3701940933,0.0,0.0,6.0,0.0,1445,1445,53,0.03667820069204152,50371022.50520726,169406.8954064836,0.0033631815869723638,0.16940689540648363,0,4263,100237,high_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3318839.060931528,1000000.0,3318839.0609316886,2318839.0609316886,0.0,0.0,7.0,0.0,1728,1728,118,0.06828703703703703,59162431.17703142,313703.5805260545,0.00530241192400226,0.3137035805260545,0,4263,100237,high_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4528784.663146064,1000000.0,4528784.663146557,3528784.6631465573,0.0,0.0,6.0,0.0,2082,2082,39,0.018731988472622477,72197920.64022134,104925.95592075167,0.0014533099428669363,0.10492595592075167,0,4263,100237,high_default,1000000.0
Fin_rl_1,pure_rl,rl,5634520.421067736,5000000.0,5634520.421068117,634520.421068117,0.0,0.0,10.0,0.0,697,697,0,0.0,24230018.41967991,0.0,0.0,0.0,0,4253,100237,none_default,5000000.0
Fin_rl_2,pure_rl,rl,9892061.092826592,5000000.0,9892061.092825796,4892061.092825796,0.0,0.0,6.0,0.0,4924,4924,0,0.0,172994074.39827487,0.0,0.0,0.0,0,4253,100237,none_default,5000000.0
Fin_rl_3,pure_rl,rl,9240993.508688645,5000000.0,9240993.50868774,4240993.50868774,0.0,0.0,14.0,0.0,4777,4777,0,0.0,167456318.3020149,0.0,0.0,0.0,0,4253,100237,none_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,8856220.484936776,5000000.0,8856220.484937584,3856220.484937584,0.0,0.0,13.0,0.0,4217,4217,0,0.0,147364617.95051005,0.0,0.0,0.0,0,4247,100237,none_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,9495515.099451095,5000000.0,9495515.099449018,4495515.099449018,0.0,0.0,8.0,0.0,4390,4390,0,0.0,154408590.01996443,0.0,0.0,0.0,0,4247,100237,none_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6589362.297861138,5000000.0,6589362.297860517,1589362.2978605172,0.0,0.0,14.0,0.0,1777,1777,0,0.0,62503673.600362815,0.0,0.0,0.0,0,4247,100237,none_default,5000000.0
Fin_rl_1,pure_rl,rl,7401219.787880093,5000000.0,7401219.787880346,2401219.787880346,0.0,0.0,18.0,0.0,1887,1887,183,0.09697933227344992,66573478.36797745,396856.2260464656,0.005961176068537193,0.07937124520929313,0,4238,100237,low_default,5000000.0
