financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_rl_apr_no_screening_1,pure_rl,none,4898712.884570828,1000000.0,4898712.884570797,3898712.884570797,0.0,0.0,6.0,0.0,2869,2869,0,0.0,89809303.41805047,0.0,0.0,0.0,0,4246,709098,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,5236030.52072562,1000000.0,5236030.520725504,4236030.520725504,0.0,0.0,6.0,0.0,2627,2627,0,0.0,91615032.4849887,0.0,0.0,0.0,0,4246,709098,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,5290028.51661216,1000000.0,5290028.516611808,4290028.516611808,0.0,0.0,6.0,0.0,2282,2282,0,0.0,81111983.32937631,0.0,0.0,0.0,0,4246,709098,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,5399650.62312538,1000000.0,5399650.623124934,4399650.623124934,0.0,0.0,6.0,0.0,2414,2414,111,0.045981772990886495,82522662.05635801,238829.29401961033,0.002894105547110251,0.23882929401961034,0,4239,709098,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,4098499.163629877,1000000.0,4098499.163629656,3098499.163629656,0.0,0.0,6.0,0.0,1916,1916,130,0.06784968684759916,64729476.64314747,285362.8720170032,0.004408545948705935,0.28536287201700317,0,4239,709098,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,6947159.321518432,1000000.0,6947159.321517915,5947159.321517915,0.0,0.0,6.0,0.0,2887,2887,77,0.026671285071007966,101410075.23872551,168250.79760268747,0.0016591132311717038,0.16825079760268746,0,4239,709098,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,3177730.7438619477,1000000.0,3177730.743862163,2177730.743862163,0.0,0.0,6.0,0.0,1761,1761,267,0.151618398637138,60241359.17677779,596889.5572853386,0.009908301629346892,0.5968895572853387,0,4275,709098,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,4564169.384669878,1000000.0,4564169.384669848,3564169.384669848,0.0,0.0,6.0,0.0,2342,2342,274,0.11699402220324509,78294004.30009565,683873.5380402339,0.008734685933535762,0.6838735380402339,0,4275,709098,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,5317875.377286141,1000000.0,5317875.377285929,4317875.377285929,0.0,0.0,7.0,0.0,2508,2508,214,0.08532695374800638,85119523.13071147,540788.9086605408,0.006353288749398809,0.5407889086605409,0,4275,709098,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,3956155.5266378364,1000000.0,3956155.5266376263,2956155.5266376263,0.0,0.0,8.0,0.0,1764,1764,200,0.11337868480725624,61731367.452191085,520526.6283265823,0.008432125349073356,0.5205266283265824,0,4283,709098,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,4735896.285251879,1000000.0,4735896.285251964,3735896.285251964,0.0,0.0,7.0,0.0,2409,2409,286,0.1187214611872146,81118010.16205025,865989.7908420812,0.01067567842347322,0.8659897908420812,0,4283,709098,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,3910411.9896141314,1000000.0,3910411.9896146157,2910411.9896146157,0.0,0.0,6.0,0.0,1996,1996,258,0.12925851703406813,66780445.533797696,735730.1588426543,0.01101714960063122,0.7357301588426544,0,4283,709098,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
