financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_fixed_8_no_screening_1,fixed_8,none,2377487.249749242,1000000.0,2377487.249749221,1377487.249749221,0.0,0.0,8.0,0.0,1924,1924,0,0.0,60825592.64511324,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,2378900.5502286595,1000000.0,2378900.5502287233,1378900.5502287233,0.0,0.0,8.0,0.0,1941,1941,0,0.0,61002187.41352856,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,2375869.170305582,1000000.0,2375869.1703055575,1375869.1703055575,0.0,0.0,8.0,0.0,1930,1930,0,0.0,60919298.91801827,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,1951239.438842187,1000000.0,1951239.4388422167,951239.4388422167,0.0,0.0,8.0,0.0,1748,1748,217,0.12414187643020595,53463331.98706919,292505.7405712751,0.005471146853361505,0.2925057405712751,0,4266,709098,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,1965506.210768858,1000000.0,1965506.2107688612,965506.2107688612,0.0,0.0,8.0,0.0,1728,1728,211,0.12210648148148148,53495349.47391437,281699.5686498104,0.005265870237695595,0.2816995686498104,0,4266,709098,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,1966665.669828939,1000000.0,1966665.6698288885,966665.6698288885,0.0,0.0,8.0,0.0,1738,1738,215,0.1237054085155351,53422021.34090559,277437.17467599025,0.005193311067463386,0.2774371746759903,0,4266,709098,low_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,1543263.5368313051,1000000.0,1543263.5368313212,543263.5368313212,0.0,0.0,8.0,0.0,1544,1544,335,0.21696891191709844,46311720.99104502,562858.1589936103,0.012153686948978776,0.5628581589936102,0,4280,709098,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_2,fixed_8,none,1491420.3561060682,1000000.0,1491420.3561060838,491420.35610608384,0.0,0.0,8.0,0.0,1524,1524,361,0.2368766404199475,45671805.02712332,598187.5214473674,0.013097523101881328,0.5981875214473674,0,4280,709098,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_3,fixed_8,none,1532695.4646920073,1000000.0,1532695.4646920073,532695.4646920073,0.0,0.0,8.0,0.0,1555,1555,359,0.23086816720257236,46555086.18005248,576064.1549735707,0.01237381781972509,0.5760641549735708,0,4280,709098,medium_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
Fin_fixed_8_no_screening_1,fixed_8,none,961490.0459295053,1000000.0,961490.045929483,-38509.95407051698,38509.95407051698,0.03850995407051698,8.0,0.0,1265,1265,448,0.3541501976284585,35791414.0464398,919688.9981573437,0.02569579947201963,0.9196889981573437,0,4256,709098,high_default,1000000.0,fixed_8_no_screening,Fixed 8% APR + no screening
