financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_fixed_10_no_screening_1,fixed_10,none,2948998.9270927915,1000000.0,2948998.927092763,1948998.9270927631,0.0,0.0,10.0,0.0,2124,2124,0,0.0,68282917.51866396,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,2955619.8730585393,1000000.0,2955619.873058609,1955619.8730586092,0.0,0.0,10.0,0.0,2139,2139,0,0.0,68809912.79471472,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,2952749.0991194434,1000000.0,2952749.099119653,1952749.099119653,0.0,0.0,10.0,0.0,2124,2124,0,0.0,68393048.7193411,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,2344100.22858307,1000000.0,2344100.2285831296,1344100.2285831296,0.0,0.0,10.0,0.0,1869,1869,244,0.13055109684323168,59072470.70074878,382149.5128515865,0.006469164203195289,0.3821495128515865,0,4238,709098,low_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,2372386.7922202707,1000000.0,2372386.7922201836,1372386.7922201836,0.0,0.0,10.0,0.0,1873,1873,238,0.12706887346502937,59152166.538821355,368890.503679459,0.006236297421791938,0.36889050367945897,0,4238,709098,low_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,2300656.935442283,1000000.0,2300656.93544218,1300656.93544218,0.0,0.0,10.0,0.0,1858,1858,259,0.13939720129171151,58022012.72430898,404079.9354944701,0.00696425229876895,0.40407993549447013,0,4238,709098,low_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,1715782.4134004677,1000000.0,1715782.41340048,715782.41340048,0.0,0.0,10.0,0.0,1614,1614,407,0.25216852540272616,48485987.25148549,763266.2301475069,0.015741996263551845,0.7632662301475069,0,4253,709098,medium_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,1768501.8971788755,1000000.0,1768501.897178866,768501.897178866,0.0,0.0,10.0,0.0,1633,1633,384,0.23515003061849357,49718447.91753132,723002.406274058,0.014541934363544739,0.7230024062740581,0,4253,709098,medium_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,1793929.4035172686,1000000.0,1793929.4035171717,793929.4035171717,0.0,0.0,10.0,0.0,1643,1643,373,0.22702373706634205,49870022.580532,698805.9421890533,0.014012545132912162,0.6988059421890532,0,4253,709098,medium_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,1167054.3253299443,1000000.0,1167054.3253299412,167054.32532994123,0.0,0.0,10.0,0.0,1339,1339,473,0.3532486930545183,38730643.62163122,1038913.0026798026,0.02682405727178687,1.0389130026798026,0,4262,709098,high_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,1111134.003378925,1000000.0,1111134.0033789135,111134.0033789135,0.0,0.0,10.0,0.0,1363,1363,494,0.36243580337490827,39542995.55978705,1111433.6628216242,0.028106966786094683,1.1114336628216241,0,4262,709098,high_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,1129706.7228180214,1000000.0,1129706.7228179986,129706.72281799861,0.0,0.0,10.0,0.0,1333,1333,472,0.35408852213053266,38819665.63325624,1075209.3087595187,0.027697541728396613,1.0752093087595187,0,4262,709098,high_default,1000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,8421652.280710602,5000000.0,8421652.280710053,3421652.2807100527,0.0,0.0,10.0,0.0,3441,3441,0,0.0,120173359.58098756,0.0,0.0,0.0,0,4250,709098,none_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,8560363.828334728,5000000.0,8560363.828333262,3560363.8283332624,0.0,0.0,10.0,0.0,3565,3565,0,0.0,125183160.88608837,0.0,0.0,0.0,0,4250,709098,none_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,8375400.773063718,5000000.0,8375400.773061908,3375400.773061908,0.0,0.0,10.0,0.0,3383,3383,0,0.0,118260999.38847575,0.0,0.0,0.0,0,4250,709098,none_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,7706533.462979964,5000000.0,7706533.462977769,2706533.462977769,0.0,0.0,10.0,0.0,3403,3403,446,0.13106082868057597,118994060.56213792,791809.6900343946,0.00665419506060907,0.15836193800687892,0,4267,709098,low_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,7837790.567849814,5000000.0,7837790.567848267,2837790.567848267,0.0,0.0,10.0,0.0,3510,3510,440,0.12535612535612536,123186288.35456583,762655.9319009464,0.006191078098771851,0.15253118638018928,0,4267,709098,low_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,7810169.27665505,5000000.0,7810169.276655206,2810169.2766552065,0.0,0.0,10.0,0.0,3493,3493,447,0.12797022616661896,121820805.42701082,763901.5480536199,0.006270698550842476,0.15278030961072397,0,4267,709098,low_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,6902951.899844477,5000000.0,6902951.8998439815,1902951.8998439815,0.0,0.0,10.0,0.0,3429,3429,796,0.2321376494604841,119685332.5078754,1705054.274068466,0.014246142266064823,0.3410108548136932,0,4257,709098,medium_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,7041723.249618812,5000000.0,7041723.249617051,2041723.2496170513,0.0,0.0,10.0,0.0,3549,3549,782,0.22034375880529727,124312554.990107,1684192.423567407,0.013548047690769753,0.33683848471348143,0,4257,709098,medium_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,6873918.468786482,5000000.0,6873918.468784228,1873918.468784228,0.0,0.0,10.0,0.0,3400,3400,797,0.23441176470588235,119271694.73320231,1714415.2227584983,0.014374032553100356,0.34288304455169966,0,4257,709098,medium_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,5401422.9175001355,5000000.0,5401422.917499213,401422.91749921255,0.0,0.0,10.0,0.0,3471,3471,1223,0.35234802650532987,121448069.58839233,3388394.1225301265,0.027899942205865905,0.6776788245060253,0,4279,709098,high_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,5379354.745342436,5000000.0,5379354.745343665,379354.74534366466,0.0,0.0,10.0,0.0,3507,3507,1261,0.35956658112346734,123292116.41872033,3447328.363809792,0.02796065526284014,0.6894656727619584,0,4279,709098,high_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,5321118.72627717,5000000.0,5321118.726276498,321118.7262764983,0.0,0.0,10.0,0.0,3410,3410,1242,0.36422287390029323,119465957.98763935,3412826.108960498,0.02856735229389454,0.6825652217920997,0,4279,709098,high_default,5000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,13421652.280709932,10000000.0,13421652.280710053,3421652.2807100527,0.0,0.0,10.0,0.0,3441,3441,0,0.0,120173359.58098756,0.0,0.0,0.0,0,4250,709098,none_default,10000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_2,fixed_10,none,13560363.828330582,10000000.0,13560363.828333262,3560363.8283332624,0.0,0.0,10.0,0.0,3565,3565,0,0.0,125183160.88608837,0.0,0.0,0.0,0,4250,709098,none_default,10000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_3,fixed_10,none,13375400.77305056,10000000.0,13375400.773061909,3375400.773061909,0.0,0.0,10.0,0.0,3383,3383,0,0.0,118260999.38847575,0.0,0.0,0.0,0,4250,709098,none_default,10000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
Fin_fixed_10_no_screening_1,fixed_10,none,12706533.462978562,10000000.0,12706533.462977769,2706533.462977769,0.0,0.0,10.0,0.0,3403,3403,446,0.13106082868057597,118994060.56213792,791809.6900343946,0.00665419506060907,0.07918096900343946,0,4267,709098,low_default,10000000.0,fixed_10_no_screening,Fixed 10% APR + no screening
