financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_rl_1,pure_rl,rl,1555209.3615209742,1000000.0,1555209.3615209544,555209.3615209544,0.0,0.0,8.0,0.0,500,500,64,0.128,17696623.39644095,190290.4987420323,0.0107529269555627,0.1902904987420323,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_rl_2,pure_rl,rl,1801672.964305217,1000000.0,1801672.964305208,801672.9643052081,0.0,0.0,7.0,0.0,670,670,103,0.1537313432835821,23378800.29342217,271427.2500213422,0.0116099734209933,0.2714272500213422,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_rl_3,pure_rl,rl,1647633.2376700768,1000000.0,1647633.237670055,647633.2376700547,0.0,0.0,6.0,0.0,706,706,120,0.1699716713881019,22840128.917744584,291670.57147139503,0.0127700930464011,0.291670571471395,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,1596692.4980704747,1000000.0,1596692.498070378,596692.4980703779,0.0,0.0,7.0,0.0,593,593,82,0.1382799325463743,20040993.84710831,231845.8973247776,0.0115685828304483,0.2318458973247775,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1877713.4075604205,1000000.0,1877713.407560412,877713.4075604118,0.0,0.0,7.0,0.0,698,698,66,0.0945558739255014,23804015.68113776,163840.2480755127,0.0068828827148412,0.1638402480755127,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,2172983.915735447,1000000.0,2172983.9157354315,1172983.9157354317,0.0,0.0,6.0,0.0,808,808,34,0.042079207920792,26602616.180899337,86127.87246509783,0.0032375715185086,0.0861278724650978,0,2275,0.25,0p25,831197,high_default,1000000.0,50
Fin_rl_1,pure_rl,rl,6001899.716413284,5000000.0,6001899.716411665,1001899.7164116652,0.0,0.0,6.0,0.0,1678,1678,0,0.0,58891493.0948377,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5114867.055619084,5000000.0,5114867.055619342,114867.05561934224,0.0,0.0,17.0,0.0,176,176,0,0.0,6182662.834678422,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5892147.320529369,5000000.0,5892147.320529604,892147.3205296043,0.0,0.0,6.0,0.0,1514,1514,0,0.0,52532315.53310513,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5998632.229106654,5000000.0,5998632.22910782,998632.2291078204,0.0,0.0,6.0,0.0,1699,1699,0,0.0,58848065.3353821,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5812743.34705182,5000000.0,5812743.347051966,812743.347051966,0.0,0.0,6.0,0.0,1353,1353,0,0.0,47554481.99566358,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5136619.550282776,5000000.0,5136619.550283681,136619.55028368067,0.0,0.0,13.0,0.0,219,219,0,0.0,7563231.408049487,0.0,0.0,0.0,0,2250,0.25,0p25,709098,none_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5680675.8671193225,5000000.0,5680675.867120201,680675.8671202008,0.0,0.0,6.0,0.0,1141,1141,0,0.0,40276983.08614092,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5661473.054346936,5000000.0,5661473.054348325,661473.0543483254,0.0,0.0,19.0,0.0,1122,1122,0,0.0,38977278.34873721,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5673790.457593654,5000000.0,5673790.457595052,673790.4575950522,0.0,0.0,6.0,0.0,1132,1132,0,0.0,39812100.01704492,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5630577.378146019,5000000.0,5630577.378144709,630577.3781447094,0.0,0.0,6.0,0.0,1079,1079,0,0.0,37266615.29742321,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
