financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,6047403.623733092,1000000.0,6047403.623733435,5047403.623733435,0.0,0.0,6.0,0.0,2653,2653,0,0.0,90851868.86331372,0.0,0.0,0.0,0,4265,314159,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5166026.4341396205,1000000.0,5166026.434139172,4166026.4341391716,0.0,0.0,6.0,0.0,2398,2398,0,0.0,81346658.43462937,0.0,0.0,0.0,0,4265,314159,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4884680.75117241,1000000.0,4884680.751172058,3884680.7511720583,0.0,0.0,6.0,0.0,2349,2349,0,0.0,78776964.95312476,0.0,0.0,0.0,0,4265,314159,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5767293.368936531,1000000.0,5767293.368936706,4767293.368936706,0.0,0.0,6.0,0.0,2587,2587,0,0.0,87381742.19217367,0.0,0.0,0.0,0,4235,314159,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4144965.601814474,1000000.0,4144965.601815023,3144965.601815023,0.0,0.0,6.0,0.0,2128,2128,0,0.0,69937391.43444811,0.0,0.0,0.0,0,4235,314159,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5871553.371407461,1000000.0,5871553.371407632,4871553.371407632,0.0,0.0,6.0,0.0,2489,2489,0,0.0,86141150.1975837,0.0,0.0,0.0,0,4235,314159,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,6067353.962061609,1000000.0,6067353.962061016,5067353.962061016,0.0,0.0,6.0,0.0,2880,2880,0,0.0,99434358.07560618,0.0,0.0,0.0,0,4255,314159,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4740661.990564759,1000000.0,4740661.990564659,3740661.9905646592,0.0,0.0,6.0,0.0,2593,2593,0,0.0,83568780.73663707,0.0,0.0,0.0,0,4255,314159,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5061241.875601126,1000000.0,5061241.8756005,4061241.8756005,0.0,0.0,6.0,0.0,2441,2441,0,0.0,84243232.37447186,0.0,0.0,0.0,0,4255,314159,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4476970.348770763,1000000.0,4476970.348770425,3476970.3487704247,0.0,0.0,6.0,0.0,2044,2044,54,0.026418786692759294,69311709.17274524,112482.77303288353,0.0016228538348772104,0.11248277303288354,0,4243,314159,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5257207.302460712,1000000.0,5257207.302460729,4257207.302460729,0.0,0.0,6.0,0.0,2547,2547,80,0.031409501374165684,86934891.71946648,168946.98070318528,0.0019433736830128776,0.16894698070318528,0,4243,314159,low_default,1000000.0
