financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_fixed_6_no_screening_1,fixed_6,none,1914541.8226681454,1000000.0,1914541.8226681952,914541.8226681952,0.0,0.0,6.0,0.0,1767,1767,0,0.0,54419629.08850218,0.0,0.0,0.0,0,4250,831197,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1912170.434948743,1000000.0,1912170.4349487477,912170.4349487477,0.0,0.0,6.0,0.0,1754,1754,0,0.0,54184431.61949793,0.0,0.0,0.0,0,4250,831197,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1913329.1547226037,1000000.0,1913329.1547226058,913329.1547226058,0.0,0.0,6.0,0.0,1765,1765,0,0.0,54235208.15495254,0.0,0.0,0.0,0,4250,831197,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,1603688.0146073033,1000000.0,1603688.0146072882,603688.0146072882,0.0,0.0,6.0,0.0,1584,1584,209,0.13194444444444445,48131283.527631275,230611.9078866639,0.004791310162220667,0.23061190788666389,0,4254,831197,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1610049.2757589011,1000000.0,1610049.275758931,610049.275758931,0.0,0.0,6.0,0.0,1589,1589,215,0.13530522341095028,48032934.73338159,223427.74612913662,0.004651553093087614,0.22342774612913663,0,4254,831197,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1647012.4538007367,1000000.0,1647012.4538006987,647012.4538006987,0.0,0.0,6.0,0.0,1611,1611,183,0.11359404096834265,48806596.768468775,201952.00440018566,0.004137801399229204,0.20195200440018565,0,4254,831197,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,1283884.116205549,1000000.0,1283884.116205603,283884.1162056029,0.0,0.0,6.0,0.0,1433,1433,340,0.23726448011165388,42225632.24547458,470886.75326756306,0.011151680347380214,0.4708867532675631,0,4271,831197,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1292404.2570551648,1000000.0,1292404.2570552211,292404.2570552211,0.0,0.0,6.0,0.0,1429,1429,335,0.2344296710986704,42076225.52044894,454936.4610990215,0.010812197517049706,0.45493646109902147,0,4271,831197,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1318262.8641477404,1000000.0,1318262.864147731,318262.8641477311,0.0,0.0,6.0,0.0,1429,1429,328,0.22953114065780267,42468191.09574102,435336.47319942643,0.010250883354508706,0.4353364731994264,0,4271,831197,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,846244.7282879557,1000000.0,846244.7282879491,-153755.2717120509,153755.2717120509,0.1537552717120509,6.0,0.0,1185,1185,415,0.350210970464135,33529891.894788586,768253.4067500856,0.022912492803756762,0.7682534067500857,0,4269,831197,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,890050.6481637661,1000000.0,890050.6481637635,-109949.35183623654,109949.35183623654,0.10994935183623654,6.0,0.0,1219,1219,418,0.34290401968826906,34762710.648606956,744842.4433913148,0.02142647766799402,0.7448424433913148,0,4269,831197,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,788004.5860249542,1000000.0,788004.5860249375,-211995.41397506255,211995.41397506255,0.21199541397506255,6.0,0.0,1133,1133,423,0.3733451015004413,31948098.488899272,806083.0376408941,0.025231017674525347,0.8060830376408941,0,4269,831197,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,7008840.52552424,5000000.0,7008840.525525823,2008840.5255258232,0.0,0.0,6.0,0.0,3435,3435,0,0.0,119049127.62769209,0.0,0.0,0.0,0,4244,831197,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,7058303.067951054,5000000.0,7058303.067952509,2058303.067952509,0.0,0.0,6.0,0.0,3487,3487,0,0.0,121987998.01054516,0.0,0.0,0.0,0,4244,831197,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,7038602.961629315,5000000.0,7038602.961629234,2038602.9616292343,0.0,0.0,6.0,0.0,3467,3467,0,0.0,120691155.65688609,0.0,0.0,0.0,0,4244,831197,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,6547633.175862834,5000000.0,6547633.17586376,1547633.1758637596,0.0,0.0,6.0,0.0,3434,3434,420,0.12230634828188701,119539110.8043939,513749.77226012835,0.004297754674625239,0.10274995445202567,0,4292,831197,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,6553231.038828563,5000000.0,6553231.038828913,1553231.0388289131,0.0,0.0,6.0,0.0,3465,3465,458,0.13217893217893217,121329849.60368714,553711.684844568,0.00456368887502306,0.1107423369689136,0,4292,831197,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,6526057.951587547,5000000.0,6526057.951586136,1526057.9515861357,0.0,0.0,6.0,0.0,3445,3445,459,0.1332365747460087,120093693.16867377,559090.0008466664,0.004655448476061223,0.11181800016933328,0,4292,831197,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,5837296.954237301,5000000.0,5837296.954240102,837296.9542401023,0.0,0.0,6.0,0.0,3407,3407,793,0.23275609040211329,119068146.14778854,1284530.215050241,0.010788193623640278,0.2569060430100482,0,4275,831197,medium_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,5831994.879098075,5000000.0,5831994.879096955,831994.8790969551,0.0,0.0,6.0,0.0,3447,3447,782,0.22686393965767335,120116927.90719302,1292038.804255303,0.010756508901506224,0.2584077608510606,0,4275,831197,medium_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,5832337.347921049,5000000.0,5832337.347920302,832337.3479203023,0.0,0.0,6.0,0.0,3510,3510,821,0.23390313390313391,122288900.97182615,1350279.970452702,0.0110417213640982,0.2700559940905404,0,4275,831197,medium_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,4457326.0021595005,5000000.0,4457326.002160163,-542673.9978398373,542673.9978398373,0.10853479956796747,6.0,0.0,3412,3412,1242,0.36400937866354044,118915539.62480062,2736676.312549091,0.023013613874046945,0.5473352625098182,0,4272,831197,high_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
