financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,5687930.961246118,1000000.0,5687930.961246505,4687930.961246505,0.0,0.0,6.0,0.0,2325,2325,0,0.0,80450155.91063493,0.0,0.0,0.0,0,4257,591237,none_default,1000000.0
Fin_rl_2,pure_rl,rl,6218595.298187986,1000000.0,6218595.298187769,5218595.298187769,0.0,0.0,6.0,0.0,2758,2758,0,0.0,92793923.79329787,0.0,0.0,0.0,0,4257,591237,none_default,1000000.0
Fin_rl_3,pure_rl,rl,6308243.745714418,1000000.0,6308243.745714028,5308243.745714028,0.0,0.0,6.0,0.0,2864,2864,0,0.0,98037007.16836527,0.0,0.0,0.0,0,4257,591237,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5375854.209248438,1000000.0,5375854.209248358,4375854.209248358,0.0,0.0,6.0,0.0,2340,2340,0,0.0,80220348.63204202,0.0,0.0,0.0,0,4250,591237,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6502659.315930962,1000000.0,6502659.315930572,5502659.315930572,0.0,0.0,6.0,0.0,2873,2873,0,0.0,99116462.64694011,0.0,0.0,0.0,0,4250,591237,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5272006.496359664,1000000.0,5272006.496360109,4272006.496360109,0.0,0.0,6.0,0.0,2530,2530,0,0.0,82946451.78770599,0.0,0.0,0.0,0,4250,591237,none_default,1000000.0
Fin_rl_1,pure_rl,rl,3466363.4653843506,1000000.0,3466363.46538455,2466363.46538455,0.0,0.0,6.0,0.0,1242,1242,38,0.030595813204508857,43969576.771569535,67411.17904127191,0.0015331323153617339,0.06741117904127192,0,4241,591237,low_default,1000000.0
Fin_rl_2,pure_rl,rl,3503399.458838455,1000000.0,3503399.45883878,2503399.45883878,0.0,0.0,6.0,0.0,1837,1837,66,0.03592814371257485,60821156.22626867,126061.3451077649,0.0020726561763934202,0.1260613451077649,0,4241,591237,low_default,1000000.0
Fin_rl_3,pure_rl,rl,8127929.996243368,1000000.0,8127929.996243609,7127929.996243609,0.0,0.0,6.0,0.0,3428,3428,14,0.004084014002333722,115396938.35396852,32150.13236280424,0.000278604725752662,0.03215013236280424,0,4241,591237,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5485681.140653637,1000000.0,5485681.14065377,4485681.14065377,0.0,0.0,6.0,0.0,2516,2516,49,0.019475357710651828,85790084.40723252,108427.11882697575,0.0012638653939572861,0.10842711882697575,0,4263,591237,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4728592.698940143,1000000.0,4728592.698940616,3728592.698940616,0.0,0.0,6.0,0.0,2192,2192,124,0.05656934306569343,75234424.24544893,245903.22301837231,0.003268493452094803,0.2459032230183723,0,4263,591237,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5975496.1871625325,1000000.0,5975496.187163561,4975496.187163561,0.0,0.0,6.0,0.0,2461,2461,20,0.008126777732629013,83508573.03984167,38227.23202773306,0.0004577641628422386,0.03822723202773306,0,4263,591237,low_default,1000000.0
Fin_rl_1,pure_rl,rl,4617890.652291812,1000000.0,4617890.652290889,3617890.652290889,0.0,0.0,9.0,0.0,2061,2061,81,0.039301310043668124,69975106.29542498,203059.07029260806,0.0029018758390351195,0.20305907029260806,0,4264,591237,medium_default,1000000.0
Fin_rl_2,pure_rl,rl,3487555.8637578776,1000000.0,3487555.863757489,2487555.863757489,0.0,0.0,6.0,0.0,1689,1689,108,0.06394316163410302,57825576.49849258,248687.47626750666,0.004300648455687935,0.24868747626750665,0,4264,591237,medium_default,1000000.0
Fin_rl_3,pure_rl,rl,5342464.54161063,1000000.0,5342464.541611273,4342464.541611273,0.0,0.0,6.0,0.0,2466,2466,52,0.021086780210867802,83604138.2248811,123386.81381827426,0.0014758457707725477,0.12338681381827425,0,4264,591237,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4161381.474071456,1000000.0,4161381.474071319,3161381.474071319,0.0,0.0,9.0,0.0,1804,1804,43,0.02383592017738359,62422985.54966856,120315.67745014474,0.0019274258735095628,0.12031567745014474,0,4251,591237,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4177130.167905351,1000000.0,4177130.167905238,3177130.167905238,0.0,0.0,6.0,0.0,1944,1944,76,0.03909465020576132,65976432.42282589,155070.8085134455,0.002350396995091168,0.15507080851344548,0,4251,591237,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5753145.723936628,1000000.0,5753145.7239361275,4753145.7239361275,0.0,0.0,6.0,0.0,2620,2620,16,0.0061068702290076335,88752164.65233725,35221.65274611043,0.00039685401346639584,0.03522165274611043,0,4251,591237,medium_default,1000000.0
Fin_rl_1,pure_rl,rl,2715243.778282064,1000000.0,2715243.778281695,1715243.7782816952,0.0,0.0,7.0,0.0,996,996,126,0.12650602409638553,35240720.52238684,398856.00556354714,0.011318043435297298,0.3988560055635471,0,4248,591237,high_default,1000000.0
Fin_rl_2,pure_rl,rl,3007504.208147889,1000000.0,3007504.2081476203,2007504.2081476203,0.0,0.0,7.0,0.0,1476,1476,194,0.13143631436314362,49524699.82425552,464911.78858042834,0.009387473124122407,0.46491178858042836,0,4248,591237,high_default,1000000.0
Fin_rl_3,pure_rl,rl,6194726.802874585,1000000.0,6194726.80287479,5194726.80287479,0.0,0.0,6.0,0.0,2765,2765,70,0.02531645569620253,93020177.92075752,187543.5048471408,0.002016159386481783,0.1875435048471408,0,4248,591237,high_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3303203.476945939,1000000.0,3303203.476946171,2303203.476946171,0.0,0.0,7.0,0.0,1397,1397,97,0.06943450250536864,48579319.31944832,299258.2948579383,0.0061601994233404745,0.2992582948579383,0,4248,591237,high_default,1000000.0
