financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,4241964.565706168,1000000.0,4241964.565706612,3241964.5657066116,0.0,0.0,6.0,0.0,2215,2215,0,0.0,72273943.6690006,0.0,0.0,0.0,0,4250,205617,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5134326.692179654,1000000.0,5134326.692180108,4134326.6921801083,0.0,0.0,6.0,0.0,2591,2591,0,0.0,89931025.12719718,0.0,0.0,0.0,0,4250,205617,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6391564.229502814,1000000.0,6391564.229503022,5391564.229503022,0.0,0.0,6.0,0.0,3015,3015,0,0.0,101565468.43359594,0.0,0.0,0.0,0,4250,205617,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4776470.889255017,1000000.0,4776470.889255226,3776470.8892552257,0.0,0.0,6.0,0.0,2611,2611,0,0.0,85518235.07796752,0.0,0.0,0.0,0,4258,205617,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4651205.870068664,1000000.0,4651205.870068705,3651205.8700687047,0.0,0.0,6.0,0.0,2287,2287,0,0.0,78206887.26836964,0.0,0.0,0.0,0,4258,205617,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5218001.205117887,1000000.0,5218001.205117679,4218001.205117679,0.0,0.0,6.0,0.0,2529,2529,0,0.0,85500531.99432829,0.0,0.0,0.0,0,4258,205617,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,4836599.337665813,1000000.0,4836599.337666405,3836599.3376664054,0.0,0.0,6.0,0.0,2373,2373,0,0.0,82627952.04342315,0.0,0.0,0.0,0,4249,205617,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5129873.67011933,1000000.0,5129873.670119063,4129873.670119063,0.0,0.0,6.0,0.0,2738,2738,0,0.0,89254122.6567669,0.0,0.0,0.0,0,4249,205617,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5141184.185507234,1000000.0,5141184.185506891,4141184.1855068915,0.0,0.0,6.0,0.0,2707,2707,0,0.0,90469741.04807726,0.0,0.0,0.0,0,4249,205617,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4844518.959770377,1000000.0,4844518.959769999,3844518.9597699987,0.0,0.0,12.0,0.0,2152,2152,24,0.011152416356877323,75159400.63130662,48991.586600078386,0.0006518357808679971,0.048991586600078386,0,4258,205617,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4766072.606113573,1000000.0,4766072.606112915,3766072.606112915,0.0,0.0,6.0,0.0,2091,2091,48,0.02295552367288379,73163698.05630735,88374.61230100067,0.0012079024796284475,0.08837461230100067,0,4258,205617,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5968708.083866939,1000000.0,5968708.083866704,4968708.083866704,0.0,0.0,6.0,0.0,2624,2624,18,0.006859756097560976,87364161.85103421,39504.95218139073,0.0004521871594069791,0.039504952181390725,0,4258,205617,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4338781.845872437,1000000.0,4338781.845871975,3338781.8458719747,0.0,0.0,12.0,0.0,1903,1903,24,0.012611665790856543,67407297.1200919,47509.51413030298,0.0007048126265270761,0.04750951413030298,0,4251,205617,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4833875.474493102,1000000.0,4833875.474493467,3833875.4744934672,0.0,0.0,6.0,0.0,2258,2258,56,0.024800708591674048,78653541.87208024,118738.82880761345,0.0015096437615069735,0.11873882880761345,0,4251,205617,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5962346.560402826,1000000.0,5962346.56040285,4962346.56040285,0.0,0.0,6.0,0.0,2766,2766,12,0.004338394793926247,90876416.30199017,26996.603457943645,0.0002970694109265005,0.026996603457943646,0,4251,205617,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3964132.6153565636,1000000.0,3964132.6153570903,2964132.6153570903,0.0,0.0,12.0,0.0,2112,2112,23,0.010890151515151516,69881415.27580577,42361.05650926013,0.0006061848682095354,0.042361056509260135,0,4248,205617,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4596893.056096484,1000000.0,4596893.0560961375,3596893.0560961375,0.0,0.0,6.0,0.0,1906,1906,44,0.023084994753410283,66423591.98125757,96227.75548697477,0.0014486984611450536,0.09622775548697476,0,4248,205617,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6709740.373136263,1000000.0,6709740.373136245,5709740.373136245,0.0,0.0,6.0,0.0,2814,2814,15,0.005330490405117271,96470672.70481405,37342.310668503065,0.0003870845887305565,0.03734231066850306,0,4248,205617,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,2925872.0523813916,1000000.0,2925872.052380885,1925872.052380885,0.0,0.0,12.0,0.0,1324,1324,60,0.045317220543806644,45546252.03252341,156651.44640818445,0.003439392692428867,0.15665144640818446,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3068180.5941855074,1000000.0,3068180.594185406,2068180.5941854059,0.0,0.0,6.0,0.0,1458,1458,87,0.059670781893004114,50282369.59911935,197388.05125291963,0.003925591670134351,0.19738805125291964,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5431572.99347694,1000000.0,5431572.993477071,4431572.993477071,0.0,0.0,7.0,0.0,2422,2422,32,0.013212221304706853,82894831.25793128,86076.99420200198,0.0010383879536972486,0.08607699420200197,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,2925872.0523813916,1000000.0,2925872.052380885,1925872.052380885,0.0,0.0,12.0,0.0,1324,1324,60,0.045317220543806644,45546252.03252341,156651.44640818445,0.003439392692428867,0.15665144640818446,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3068180.5941855074,1000000.0,3068180.594185406,2068180.5941854059,0.0,0.0,6.0,0.0,1458,1458,87,0.059670781893004114,50282369.59911935,197388.05125291963,0.003925591670134351,0.19738805125291964,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5431572.99347694,1000000.0,5431572.993477071,4431572.993477071,0.0,0.0,7.0,0.0,2422,2422,32,0.013212221304706853,82894831.25793128,86076.99420200198,0.0010383879536972486,0.08607699420200197,0,4259,205617,medium_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3488330.6158178207,1000000.0,3488330.6158177303,2488330.6158177303,0.0,0.0,12.0,0.0,1763,1763,68,0.038570618264322176,59842575.42373897,173300.56414534073,0.0028959409403458607,0.17330056414534073,0,4253,205617,medium_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,3215491.1547220415,1000000.0,3215491.1547220307,2215491.1547220307,0.0,0.0,6.0,0.0,1607,1607,100,0.06222775357809583,55485363.57282663,224954.9054690542,0.004054310740413414,0.22495490546905422,0,4253,205617,medium_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,4434489.437602435,1000000.0,4434489.437602495,3434489.437602495,0.0,0.0,7.0,0.0,2163,2163,35,0.016181229773462782,73541804.33243331,93617.50316093209,0.0012729834957237378,0.09361750316093209,0,4253,205617,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3560388.5206652493,1000000.0,3560388.520665085,2560388.520665085,0.0,0.0,12.0,0.0,1653,1653,90,0.0544464609800363,57848792.262307905,313528.9122710163,0.00541980048346316,0.31352891227101626,0,4241,205617,high_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3620993.722092461,1000000.0,3620993.722092594,2620993.722092594,0.0,0.0,7.0,0.0,1757,1757,112,0.06374501992031872,59332797.17500717,278363.4805799144,0.004691561730333688,0.2783634805799144,0,4241,205617,high_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5138119.744936998,1000000.0,5138119.744936109,4138119.7449361086,0.0,0.0,6.0,0.0,2159,2159,37,0.01713756368689208,73870141.39477229,103727.97770316323,0.001404193571917326,0.10372797770316322,0,4241,205617,high_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,3223233.682143952,1000000.0,3223233.6821432607,2223233.6821432607,0.0,0.0,12.0,0.0,1425,1425,109,0.07649122807017544,49445605.93641199,358029.8730154622,0.007240883517048927,0.3580298730154622,0,4250,205617,high_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3672203.362356709,1000000.0,3672203.3623572905,2672203.3623572905,0.0,0.0,7.0,0.0,1673,1673,115,0.06873879258816497,57352396.59810335,289719.99453436903,0.00505157607561861,0.28971999453436903,0,4250,205617,high_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5020481.251508366,1000000.0,5020481.25150885,4020481.2515088497,0.0,0.0,6.0,0.0,2303,2303,34,0.014763352149370386,78139015.47353029,86283.54670813179,0.0011042313009096008,0.08628354670813179,0,4250,205617,high_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3211518.9223180288,1000000.0,3211518.922318353,2211518.922318353,0.0,0.0,12.0,0.0,1244,1244,77,0.06189710610932476,43821034.09917685,259929.5537148848,0.005931616153252016,0.2599295537148848,0,4253,205617,high_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,3541098.1730445684,1000000.0,3541098.1730445507,2541098.1730445507,0.0,0.0,7.0,0.0,1664,1664,131,0.07872596153846154,56783895.17276969,343293.504156013,0.006045613868360284,0.343293504156013,0,4253,205617,high_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5099656.598896032,1000000.0,5099656.59889632,4099656.59889632,0.0,0.0,6.0,0.0,2364,2364,33,0.013959390862944163,80920394.06703351,90164.56498630089,0.0011142378386295253,0.09016456498630089,0,4253,205617,high_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,8955227.697646374,5000000.0,8955227.697648384,3955227.6976483837,0.0,0.0,21.0,0.0,4116,4116,0,0.0,144130655.63744545,0.0,0.0,0.0,0,4242,205617,none_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,7226688.551866294,5000000.0,7226688.551864745,2226688.551864745,0.0,0.0,6.0,0.0,2352,2352,0,0.0,82318011.86108312,0.0,0.0,0.0,0,4242,205617,none_default,5000000.0
