financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5718021.0329188295,1000000.0,5718021.032918503,4718021.032918503,0.0,0.0,6.0,0.0,2689,2689,0,0.0,91849429.92838676,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5897612.585937231,1000000.0,5897612.585936697,4897612.585936697,0.0,0.0,6.0,0.0,2669,2669,0,0.0,93100160.93662395,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5205828.294442736,1000000.0,5205828.294443921,4205828.294443921,0.0,0.0,6.0,0.0,2618,2618,0,0.0,86546637.57521436,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5863689.47669069,1000000.0,5863689.476690707,4863689.476690707,0.0,0.0,6.0,0.0,2623,2623,0,0.0,91572032.09095974,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5860643.156624995,1000000.0,5860643.15662536,4860643.15662536,0.0,0.0,6.0,0.0,2721,2721,0,0.0,94311402.27236885,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5180302.667527951,1000000.0,5180302.667527918,4180302.667527918,0.0,0.0,6.0,0.0,2620,2620,0,0.0,85047247.99131685,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,6404446.406971388,1000000.0,6404446.40697053,5404446.40697053,0.0,0.0,6.0,0.0,2896,2896,0,0.0,100400953.1776123,0.0,0.0,0.0,0,4263,371828,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5353259.51188697,1000000.0,5353259.511887058,4353259.511887058,0.0,0.0,6.0,0.0,2489,2489,0,0.0,85812881.85443711,0.0,0.0,0.0,0,4263,371828,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,4962384.187720481,1000000.0,4962384.187720497,3962384.187720497,0.0,0.0,6.0,0.0,2527,2527,0,0.0,81986398.96352366,0.0,0.0,0.0,0,4263,371828,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4848806.200449411,1000000.0,4848806.200449799,3848806.200449799,0.0,0.0,6.0,0.0,2147,2147,52,0.02421984163949697,74362659.05656643,124613.2174874564,0.001675749886682578,0.12461321748745639,0,4264,371828,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4762779.17630852,1000000.0,4762779.176307496,3762779.1763074957,0.0,0.0,6.0,0.0,2254,2254,212,0.0940550133096717,78939701.10188645,448757.1430054752,0.005684809249863642,0.4487571430054752,0,4264,371828,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6005656.700895474,1000000.0,6005656.700895647,5005656.700895647,0.0,0.0,6.0,0.0,2521,2521,4,0.0015866719555731853,84607670.35821037,6785.456016067579,8.019906454508726e-05,0.006785456016067579,0,4264,371828,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4459790.20588533,1000000.0,4459790.205885453,3459790.205885453,0.0,0.0,6.0,0.0,2266,2266,104,0.04589585172109444,77837741.4164203,222160.49948768524,0.0028541488414875727,0.22216049948768524,0,4253,371828,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5215823.7755302675,1000000.0,5215823.775530794,4215823.775530794,0.0,0.0,6.0,0.0,2331,2331,154,0.06606606606606606,81818195.70105477,332823.14044740546,0.004067837693017164,0.33282314044740546,0,4253,371828,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5632579.326460537,1000000.0,5632579.326459705,4632579.326459705,0.0,0.0,6.0,0.0,2314,2314,8,0.003457216940363008,77949969.85644923,19944.276839025937,0.00025585996858953035,0.019944276839025936,0,4253,371828,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3736936.1467290195,1000000.0,3736936.1467293263,2736936.1467293263,0.0,0.0,6.0,0.0,1591,1591,34,0.021370207416719043,55247072.87576125,82630.13146632197,0.0014956472291688522,0.08263013146632196,0,4238,371828,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5422701.597750276,1000000.0,5422701.597749763,4422701.597749763,0.0,0.0,6.0,0.0,2345,2345,51,0.021748400852878463,82330373.69132516,115383.32628524676,0.0014014672970858173,0.11538332628524677,0,4238,371828,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6207227.459529206,1000000.0,6207227.459529344,5207227.459529344,0.0,0.0,6.0,0.0,2638,2638,6,0.002274450341167551,88433700.4323306,10754.058874454146,0.00012160589030969188,0.010754058874454145,0,4238,371828,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4440952.212377943,1000000.0,4440952.212378287,3440952.2123782868,0.0,0.0,7.0,0.0,1885,1885,58,0.03076923076923077,66028908.82505914,140903.91602058563,0.002133973111594267,0.14090391602058563,0,4259,371828,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,2564872.9627186526,1000000.0,2564872.9627190093,1564872.9627190093,0.0,0.0,7.0,0.0,1496,1496,172,0.11497326203208556,47534606.23164109,316017.237001193,0.0066481509378916075,0.316017237001193,0,4259,371828,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6232109.031155852,1000000.0,6232109.031155201,5232109.031155201,0.0,0.0,6.0,0.0,2768,2768,36,0.01300578034682081,95325363.47927466,93790.0558088636,0.000983894027629437,0.0937900558088636,0,4259,371828,medium_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4755115.118193292,1000000.0,4755115.118193572,3755115.1181935724,0.0,0.0,7.0,0.0,2188,2188,63,0.028793418647166363,76156208.99130762,157203.55493233848,0.0020642250581338877,0.15720355493233848,0,4265,371828,medium_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3256229.0493682805,1000000.0,3256229.0493682604,2256229.0493682604,0.0,0.0,7.0,0.0,1719,1719,148,0.08609656777196044,56243028.73718305,258074.48167002702,0.0045885594617597536,0.258074481670027,0,4265,371828,medium_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,4867048.423246904,1000000.0,4867048.423247584,3867048.423247584,0.0,0.0,6.0,0.0,2140,2140,40,0.018691588785046728,73335894.78109518,105614.07195649717,0.0014401415878506848,0.10561407195649716,0,4265,371828,medium_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,4645044.433971175,1000000.0,4645044.433971036,3645044.433971036,0.0,0.0,7.0,0.0,2167,2167,84,0.03876326718966313,74212822.60473321,194706.34517280397,0.0026236213411506303,0.19470634517280397,0,4255,371828,medium_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,3737092.259058586,1000000.0,3737092.259058805,2737092.259058805,0.0,0.0,7.0,0.0,1714,1714,150,0.08751458576429405,58517097.994472325,297206.8662193864,0.0050789748023297625,0.2972068662193864,0,4255,371828,medium_default,1000000.0
