financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,6238596.873876577,1000000.0,6238596.873876332,5238596.873876332,0.0,0.0,6.0,0.0,2973,2973,0,0.0,101834001.76814061,0.0,0.0,0.0,0,4262,703909,none_default,1000000.0
Fin_rl_2,pure_rl,rl,4524356.187698831,1000000.0,4524356.187698394,3524356.187698394,0.0,0.0,6.0,0.0,2276,2276,0,0.0,75558687.29660143,0.0,0.0,0.0,0,4262,703909,none_default,1000000.0
Fin_rl_3,pure_rl,rl,4831473.234661152,1000000.0,4831473.234660968,3831473.234660968,0.0,0.0,6.0,0.0,2401,2401,0,0.0,81304936.50985417,0.0,0.0,0.0,0,4262,703909,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5334702.879447541,1000000.0,5334702.879447192,4334702.879447192,0.0,0.0,6.0,0.0,2731,2731,0,0.0,88572532.04401174,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5732801.903516224,1000000.0,5732801.903516462,4732801.903516462,0.0,0.0,6.0,0.0,2488,2488,0,0.0,86669318.25916357,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5021283.965572536,1000000.0,5021283.965573264,4021283.9655732643,0.0,0.0,6.0,0.0,2330,2330,0,0.0,78893203.3510358,0.0,0.0,0.0,0,4253,703909,none_default,1000000.0
Fin_rl_1,pure_rl,rl,6198427.245963285,1000000.0,6198427.2459628405,5198427.2459628405,0.0,0.0,6.0,0.0,2744,2744,19,0.006924198250728863,94510793.6458226,36952.888455602864,0.0003909911982549116,0.036952888455602864,0,4247,703909,low_default,1000000.0
Fin_rl_2,pure_rl,rl,4746182.853122527,1000000.0,4746182.8531222325,3746182.8531222325,0.0,0.0,6.0,0.0,2095,2095,37,0.01766109785202864,70758774.17885488,74570.53076346431,0.001053869737411993,0.07457053076346432,0,4247,703909,low_default,1000000.0
Fin_rl_3,pure_rl,rl,3897243.410000038,1000000.0,3897243.409999319,2897243.409999319,0.0,0.0,21.0,0.0,1570,1570,21,0.01337579617834395,53194807.783773445,52337.702782669396,0.000983887431183359,0.052337702782669394,0,4247,703909,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5230168.161995012,1000000.0,5230168.161995292,4230168.161995292,0.0,0.0,6.0,0.0,2395,2395,51,0.02129436325678497,83956896.19087227,113681.98339988495,0.0013540517641509044,0.11368198339988494,0,4267,703909,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4925781.246264943,1000000.0,4925781.246264594,3925781.2462645937,0.0,0.0,6.0,0.0,2075,2075,34,0.0163855421686747,71843114.48174079,70992.38491757931,0.0009881585094090306,0.07099238491757931,0,4267,703909,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5699657.119064772,1000000.0,5699657.119065482,4699657.119065482,0.0,0.0,6.0,0.0,2628,2628,31,0.011796042617960426,88286827.51210989,70731.79358239731,0.0008011590808684949,0.07073179358239731,0,4267,703909,low_default,1000000.0
