financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,5227309.306837654,1000000.0,5227309.3068375895,4227309.3068375895,0.0,0.0,6.0,0.0,2306,2306,0,0.0,79187514.64462614,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_rl_2,pure_rl,rl,7284095.850596863,1000000.0,7284095.850596103,6284095.850596103,0.0,0.0,6.0,0.0,3269,3269,0,0.0,112649040.60191678,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_rl_3,pure_rl,rl,4340061.953473034,1000000.0,4340061.953472597,3340061.9534725966,0.0,0.0,6.0,0.0,2294,2294,0,0.0,76129670.71819344,0.0,0.0,0.0,0,4253,371828,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5718021.0329188295,1000000.0,5718021.032918503,4718021.032918503,0.0,0.0,6.0,0.0,2689,2689,0,0.0,91849429.92838676,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5897612.585937231,1000000.0,5897612.585936697,4897612.585936697,0.0,0.0,6.0,0.0,2669,2669,0,0.0,93100160.93662395,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5205828.294442736,1000000.0,5205828.294443921,4205828.294443921,0.0,0.0,6.0,0.0,2618,2618,0,0.0,86546637.57521436,0.0,0.0,0.0,0,4264,371828,none_default,1000000.0
Fin_rl_1,pure_rl,rl,5085142.865358106,1000000.0,5085142.865357972,4085142.8653579718,0.0,0.0,6.0,0.0,2233,2233,48,0.021495745633676667,78121405.67890741,103636.43976125756,0.0013266074625848565,0.10363643976125755,0,4258,371828,low_default,1000000.0
Fin_rl_2,pure_rl,rl,4028478.1588195646,1000000.0,4028478.158819956,3028478.158819956,0.0,0.0,6.0,0.0,1613,1613,31,0.019218846869187848,56749766.21430181,62103.05885882434,0.0010943315365266372,0.06210305885882434,0,4258,371828,low_default,1000000.0
Fin_rl_3,pure_rl,rl,4892102.3132341765,1000000.0,4892102.313234496,3892102.313234496,0.0,0.0,6.0,0.0,2236,2236,118,0.052772808586762074,72089278.04222727,204707.89267483074,0.002839644094575622,0.20470789267483075,0,4258,371828,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4848806.200449411,1000000.0,4848806.200449799,3848806.200449799,0.0,0.0,6.0,0.0,2147,2147,52,0.02421984163949697,74362659.05656643,124613.2174874564,0.001675749886682578,0.12461321748745639,0,4264,371828,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4762779.17630852,1000000.0,4762779.176307496,3762779.1763074957,0.0,0.0,6.0,0.0,2254,2254,212,0.0940550133096717,78939701.10188645,448757.1430054752,0.005684809249863642,0.4487571430054752,0,4264,371828,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6005656.700895474,1000000.0,6005656.700895647,5005656.700895647,0.0,0.0,6.0,0.0,2521,2521,4,0.0015866719555731853,84607670.35821037,6785.456016067579,8.019906454508726e-05,0.006785456016067579,0,4264,371828,low_default,1000000.0
Fin_rl_1,pure_rl,rl,3951552.416293917,1000000.0,3951552.4162939866,2951552.4162939866,0.0,0.0,7.0,0.0,1888,1888,111,0.058792372881355935,64475124.48496411,255928.54857879638,0.00396941534620038,0.2559285485787964,0,4261,371828,medium_default,1000000.0
Fin_rl_2,pure_rl,rl,3524647.379652725,1000000.0,3524647.3796529444,2524647.3796529444,0.0,0.0,7.0,0.0,1913,1913,192,0.1003659174072138,63825084.55204963,340686.47696292034,0.005337814737794652,0.3406864769629203,0,4261,371828,medium_default,1000000.0
Fin_rl_3,pure_rl,rl,5700005.968517032,1000000.0,5700005.968516966,4700005.968516966,0.0,0.0,6.0,0.0,2638,2638,106,0.0401819560272934,90932328.94657889,272514.98499768897,0.0029968987724683332,0.27251498499768895,0,4261,371828,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4440952.212377943,1000000.0,4440952.212378287,3440952.2123782868,0.0,0.0,7.0,0.0,1885,1885,58,0.03076923076923077,66028908.82505914,140903.91602058563,0.002133973111594267,0.14090391602058563,0,4259,371828,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,2564872.9627186526,1000000.0,2564872.9627190093,1564872.9627190093,0.0,0.0,7.0,0.0,1496,1496,172,0.11497326203208556,47534606.23164109,316017.237001193,0.0066481509378916075,0.316017237001193,0,4259,371828,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6232109.031155852,1000000.0,6232109.031155201,5232109.031155201,0.0,0.0,6.0,0.0,2768,2768,36,0.01300578034682081,95325363.47927466,93790.0558088636,0.000983894027629437,0.0937900558088636,0,4259,371828,medium_default,1000000.0
Fin_rl_1,pure_rl,rl,3161252.5336023257,1000000.0,3161252.5336024296,2161252.5336024296,0.0,0.0,14.0,0.0,1313,1313,124,0.09444021325209444,45123681.41662986,408621.332214118,0.009055584991864712,0.408621332214118,0,4261,371828,high_default,1000000.0
Fin_rl_2,pure_rl,rl,2893303.2939561987,1000000.0,2893303.2939563766,1893303.2939563766,0.0,0.0,7.0,0.0,1274,1274,101,0.07927786499215071,43657475.08230164,275044.3618758223,0.0063000519695039095,0.2750443618758223,0,4261,371828,high_default,1000000.0
Fin_rl_3,pure_rl,rl,6214524.466258534,1000000.0,6214524.466258074,5214524.466258074,0.0,0.0,6.0,0.0,2824,2824,57,0.02018413597733711,96974529.86958735,169413.21892429312,0.001746986751594695,0.16941321892429312,0,4261,371828,high_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3306484.1377027715,1000000.0,3306484.1377020013,2306484.1377020013,0.0,0.0,7.0,0.0,1383,1383,96,0.06941431670281996,47926068.14097529,282014.960364243,0.005884375065667635,0.282014960364243,0,4255,371828,high_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3640941.882154263,1000000.0,3640941.882154426,2640941.882154426,0.0,0.0,7.0,0.0,1537,1537,119,0.07742355237475602,53333519.30478792,315685.716913967,0.0059190865524905815,0.31568571691396696,0,4255,371828,high_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,3929054.0646586474,1000000.0,3929054.0646583904,2929054.0646583904,0.0,0.0,6.0,0.0,1704,1704,39,0.022887323943661973,59382117.5705741,106694.47903870454,0.0017967442624776883,0.10669447903870453,0,4255,371828,high_default,1000000.0
Fin_rl_1,pure_rl,rl,8149935.986385997,5000000.0,8149935.986385141,3149935.9863851406,0.0,0.0,12.0,0.0,2698,2698,0,0.0,94244848.61885719,0.0,0.0,0.0,0,4249,371828,none_default,5000000.0
Fin_rl_2,pure_rl,rl,8531847.766901167,5000000.0,8531847.76690358,3531847.7669035792,0.0,0.0,6.0,0.0,3566,3566,0,0.0,124879631.01618987,0.0,0.0,0.0,0,4249,371828,none_default,5000000.0
Fin_rl_3,pure_rl,rl,8821891.826446328,5000000.0,8821891.82644872,3821891.82644872,0.0,0.0,9.0,0.0,4087,4087,0,0.0,141443322.49896368,0.0,0.0,0.0,0,4249,371828,none_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,10191020.419263775,5000000.0,10191020.419263912,5191020.419263912,0.0,0.0,6.0,0.0,5958,5958,0,0.0,207361956.89214954,0.0,0.0,0.0,0,4245,371828,none_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,8538171.569457332,5000000.0,8538171.56945724,3538171.5694572404,0.0,0.0,6.0,0.0,3764,3764,0,0.0,132233362.04837742,0.0,0.0,0.0,0,4245,371828,none_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5560848.884958439,5000000.0,5560848.8849589545,560848.8849589545,0.0,0.0,15.0,0.0,653,653,0,0.0,23077197.102519393,0.0,0.0,0.0,0,4245,371828,none_default,5000000.0
Fin_rl_1,pure_rl,rl,9579968.474818056,5000000.0,9579968.474816406,4579968.474816406,0.0,0.0,20.0,0.0,2766,2766,119,0.04302241503976862,96366805.98542881,258168.10220385593,0.0026790148284347244,0.05163362044077119,0,4264,371828,low_default,5000000.0
Fin_rl_2,pure_rl,rl,7619716.483448046,5000000.0,7619716.483449617,2619716.4834496174,0.0,0.0,24.0,0.0,2004,2004,168,0.08383233532934131,69999396.89323828,325123.5300395278,0.004644661875235867,0.06502470600790557,0,4264,371828,low_default,5000000.0
Fin_rl_3,pure_rl,rl,13090460.95923348,5000000.0,13090460.959230253,8090460.9592302535,0.0,0.0,15.0,0.0,3912,3912,31,0.007924335378323108,136988735.90787762,62341.68817896973,0.00045508623585586885,0.012468337635793946,0,4264,371828,low_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,7013810.889137257,5000000.0,7013810.8891384015,2013810.8891384015,0.0,0.0,11.0,0.0,1136,1136,48,0.04225352112676056,39550639.60357575,92969.86907562026,0.00235065399719136,0.01859397381512405,0,4257,371828,low_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,11268142.439516412,5000000.0,11268142.439516583,6268142.439516583,0.0,0.0,6.0,0.0,3370,3370,157,0.04658753709198813,117448043.77001674,269257.5845268263,0.002292567639986226,0.05385151690536526,0,4257,371828,low_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,12038075.701917944,5000000.0,12038075.701916834,7038075.701916834,0.0,0.0,15.0,0.0,3534,3534,53,0.014997170345217883,123919383.23931846,111881.98881826736,0.0009028610851152804,0.022376397763653473,0,4257,371828,low_default,5000000.0
Fin_rl_1,pure_rl,rl,8920167.161749411,5000000.0,8920167.161748618,3920167.161748618,0.0,0.0,24.0,0.0,3038,3038,168,0.055299539170506916,107134584.35475779,422043.9063377161,0.0039393806293231155,0.08440878126754321,0,4245,371828,medium_default,5000000.0
Fin_rl_2,pure_rl,rl,7620047.4386331495,5000000.0,7620047.438635202,2620047.438635202,0.0,0.0,24.0,0.0,2074,2074,227,0.109450337512054,72671892.30524655,535280.9554474968,0.007365721993300183,0.10705619108949938,0,4245,371828,medium_default,5000000.0
Fin_rl_3,pure_rl,rl,9336362.257004455,5000000.0,9336362.257005049,4336362.257005049,0.0,0.0,20.0,0.0,2579,2579,54,0.02093834819697557,90497115.84053063,114802.35412127414,0.0012685747281004287,0.022960470824254828,0,4245,371828,medium_default,5000000.0
