financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5361799.043947083,5000000.0,5361799.043947015,361799.04394701496,0.0,0.0,6.0,0.0,750,750,65,0.08666666666666667,25827526.364950556,90809.51455433374,0.0035159973615424313,0.018161902910866747,0,2270,0.0,0p00,831197,low_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5376695.562838173,5000000.0,5376695.562838832,376695.5628388319,0.0,0.0,7.0,0.0,782,782,75,0.0959079283887468,27281924.004042633,115272.94278798229,0.004225249757711412,0.02305458855759646,0,2270,0.0,0p00,831197,low_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5370366.914306818,5000000.0,5370366.914307411,370366.9143074108,0.0,0.0,6.0,0.0,803,803,96,0.11955168119551682,28018035.407144405,118792.45390459386,0.0042398566558418515,0.02375849078091877,0,2270,0.0,0p00,831197,low_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5346790.247389766,5000000.0,5346790.24738908,346790.24738908,0.0,0.0,7.0,0.0,794,794,114,0.14357682619647355,27755048.19028804,144051.99712920663,0.005190118789979722,0.028810399425841328,0,2270,0.0,0p00,831197,low_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5345734.484638083,5000000.0,5345734.48463774,345734.48463774007,0.0,0.0,8.0,0.0,775,775,105,0.13548387096774195,27185209.874971732,131372.65278825333,0.004832504637354393,0.026274530557650666,0,2270,0.0,0p00,831197,low_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5272768.461073412,5000000.0,5272768.4610732645,272768.4610732645,0.0,0.0,6.0,0.0,809,809,131,0.1619283065512979,28320270.899974804,270074.63938307326,0.009536442653990063,0.05401492787661465,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5279921.681522424,5000000.0,5279921.681520763,279921.68152076285,0.0,0.0,8.0,0.0,749,749,105,0.14018691588785046,26586759.406720266,249531.16143728144,0.009385542540931411,0.04990623228745629,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5266745.272804941,5000000.0,5266745.272804951,266745.2728049513,0.0,0.0,7.0,0.0,851,851,167,0.19623971797884843,29861846.917395286,344511.9965093617,0.011536861650331303,0.06890239930187235,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5209572.134665981,5000000.0,5209572.13466575,209572.13466574997,0.0,0.0,7.0,0.0,713,713,134,0.1879382889200561,24596334.269673202,263697.4860851184,0.010721007577549969,0.05273949721702367,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5168839.6327343555,5000000.0,5168839.632734236,168839.6327342363,0.0,0.0,7.0,0.0,588,588,116,0.19727891156462585,20529982.773908284,232844.71554543258,0.01134169074127801,0.04656894310908652,0,2260,0.0,0p00,709098,medium_default,5000000.0
